"日期","最新","开盘","高","低","百分比变化"
"2017年7月25日","2,560.90","2,769.70","2,790.10","2,435.70","-7.54"
"2017年7月24日","2,769.70","2,750.10","2,812.00","2,707.30","0.81"
"2017年7月23日","2,747.50","2,845.70","2,875.70","2,656.20","-3.45"
"2017年7月22日","2,845.70","2,659.00","2,912.90","2,642.80","6.82"
"2017年7月21日","2,664.00","2,874.50","2,874.50","2,615.00","-6.73"
"2017年7月20日","2,856.30","2,253.30","2,919.90","2,253.30","26.77"
"2017年7月19日","2,253.10","2,302.20","2,399.90","2,214.20","-2.13"
"2017年7月18日","2,302.10","2,220.00","2,380.20","2,139.80","3.74"
"2017年7月17日","2,219.00","1,925.00","2,223.30","1,924.10","15.28"
"2017年7月16日","1,924.90","1,979.70","2,048.80","1,835.80","-2.71"
"2017年7月15日","1,978.60","2,206.50","2,210.10","1,975.70","-10.27"
"2017年7月14日","2,205.10","2,329.40","2,345.60","2,138.00","-5.32"
"2017年7月13日","2,329.00","2,375.60","2,400.00","2,293.80","-1.91"
"2017年7月12日","2,374.40","2,285.60","2,394.00","2,195.80","4.04"
"2017年7月11日","2,282.10","2,318.30","2,372.80","2,183.30","-1.56"
"2017年7月10日","2,318.30","2,477.90","2,498.10","2,240.00","-6.44"
"2017年7月9日","2,478.00","2,542.00","2,555.60","2,473.70","-2.52"
"2017年7月8日","2,542.00","2,479.30","2,542.60","2,436.80","2.53"
"2017年7月7日","2,479.30","2,593.20","2,598.00","2,447.00","-4.39"
"2017年7月6日","2,593.10","2,598.60","2,603.30","2,546.00","-0.21"
"2017年7月5日","2,598.50","2,579.90","2,617.60","2,482.50","0.62"
"2017年7月4日","2,582.60","2,525.90","2,628.00","2,512.40","2.32"
"2017年7月3日","2,524.00","2,445.10","2,584.00","2,416.20","3.23"
"2017年7月2日","2,445.00","2,346.20","2,470.00","2,302.00","4.06"
"2017年7月1日","2,349.50","2,420.60","2,440.90","2,291.00","-2.94"
"2017年6月30日","2,420.70","2,472.40","2,511.10","2,406.60","-2.00"
"2017年6月29日","2,470.10","2,518.20","2,537.00","2,424.10","-1.91"
"2017年6月28日","2,518.20","2,521.30","2,561.10","2,403.20","-0.12"
"2017年6月27日","2,521.20","2,393.50","2,524.00","2,208.10","5.29"
"2017年6月26日","2,394.60","2,480.00","2,510.40","2,258.70","-3.35"
"2017年6月25日","2,477.70","2,502.60","2,595.00","2,369.10","-0.99"
"2017年6月24日","2,502.60","2,674.90","2,700.00","2,454.10","-6.44"
"2017年6月23日","2,674.90","2,672.80","2,725.30","2,652.80","0.08"
"2017年6月22日","2,672.80","2,624.40","2,709.00","2,554.80","1.97"
"2017年6月21日","2,621.20","2,715.30","2,760.00","2,573.30","-3.36"
"2017年6月20日","2,712.20","2,585.00","2,779.60","2,568.20","5.09"
"2017年6月19日","2,580.80","2,494.90","2,592.70","2,481.40","3.58"
"2017年6月18日","2,491.50","2,610.10","2,635.00","2,421.00","-4.54"
"2017年6月17日","2,610.00","2,435.50","2,636.90","2,368.70","7.10"
"2017年6月16日","2,437.00","2,377.50","2,480.00","2,261.20","2.51"
"2017年6月15日","2,377.40","2,394.30","2,455.00","2,050.00","-0.74"
"2017年6月14日","2,395.04","2,677.10","2,720.00","2,284.40","-10.51"
"2017年6月13日","2,676.40","2,570.00","2,730.00","2,532.60","4.07"
"2017年6月12日","2,571.80","2,941.80","2,961.90","2,298.23","-12.41"
"2017年6月11日","2,936.30","2,806.00","3,000.00","2,793.80","4.64"
"2017年6月10日","2,806.00","2,809.90","2,890.50","2,750.80","-0.11"
"2017年6月9日","2,809.00","2,781.50","2,849.80","2,769.60","0.97"
"2017年6月8日","2,782.10","2,642.00","2,789.30","2,570.10","5.28"
"2017年6月7日","2,642.63","2,844.60","2,850.00","2,600.20","-7.07"
"2017年6月6日","2,843.60","2,636.90","2,896.50","2,620.00","7.87"
"2017年6月5日","2,636.20","2,488.20","2,637.50","2,480.00","5.95"
"2017年6月4日","2,488.20","2,461.60","2,498.00","2,376.40","1.11"
"2017年6月3日","2,461.00","2,405.90","2,481.00","2,348.00","2.29"
"2017年6月2日","2,405.88","2,312.00","2,407.80","2,271.90","4.08"
"2017年6月1日","2,311.60","2,191.83","2,366.70","2,187.40","5.46"
"2017年5月31日","2,191.83","2,147.29","2,240.10","2,002.10","2.10"
"2017年5月30日","2,146.70","2,207.40","2,263.10","2,080.40","-2.75"
"2017年5月29日","2,207.40","2,056.90","2,249.80","1,990.10","7.33"
"2017年5月28日","2,056.60","1,980.00","2,193.00","1,955.50","4.27"
"2017年5月27日","1,972.30","2,125.90","2,207.90","1,810.00","-7.29"
"2017年5月26日","2,127.30","2,268.10","2,477.00","2,008.70","-5.54"
"2017年5月25日","2,252.00","2,392.60","2,689.00","2,142.10","-5.96"
"2017年5月24日","2,394.80","2,250.00","2,443.80","2,247.70","6.47"
"2017年5月23日","2,249.30","2,087.50","2,262.90","2,060.00","7.85"
"2017年5月22日","2,085.50","2,026.50","2,219.90","1,979.20","2.77"
"2017年5月21日","2,029.20","2,059.30","2,099.10","2,001.00","-1.48"
"2017年5月20日","2,059.70","1,966.50","2,072.20","1,963.60","4.74"
"2017年5月19日","1,966.50","1,941.50","2,000.00","1,925.00","1.29"
"2017年5月18日","1,941.50","1,870.00","1,949.90","1,861.00","3.82"
"2017年5月17日","1,870.00","1,786.20","1,892.90","1,766.40","4.72"
"2017年5月16日","1,785.70","1,772.00","1,795.10","1,728.00","0.74"
"2017年5月15日","1,772.50","1,826.80","1,828.50","1,720.00","-3.04"
"2017年5月14日","1,828.10","1,820.60","1,852.40","1,780.00","0.42"
"2017年5月13日","1,820.40","1,735.00","1,824.00","1,666.00","4.92"
"2017年5月12日","1,735.00","1,853.90","1,864.80","1,700.80","-6.41"
"2017年5月11日","1,853.90","1,796.90","1,908.00","1,766.60","3.18"
"2017年5月10日","1,796.80","1,759.80","1,817.40","1,722.30","2.09"
"2017年5月9日","1,760.00","1,703.50","1,813.90","1,695.10","3.33"
"2017年5月8日","1,703.20","1,619.80","1,715.00","1,618.90","5.14"
"2017年5月7日","1,619.90","1,597.00","1,631.30","1,575.10","1.43"
"2017年5月6日","1,597.10","1,545.10","1,605.00","1,545.00","3.37"
"2017年5月5日","1,545.10","1,607.20","1,665.50","1,511.70","-3.86"
"2017年5月4日","1,607.10","1,619.40","1,701.90","1,521.10","-0.66"
"2017年5月3日","1,617.80","1,558.50","1,626.90","1,542.00","3.71"
"2017年5月2日","1,560.00","1,533.00","1,604.60","1,479.20","1.75"
"2017年5月1日","1,533.10","1,435.00","1,560.00","1,432.00","6.82"
"2017年4月30日","1,435.20","1,425.40","1,443.50","1,403.30","0.81"
"2017年4月29日","1,423.60","1,415.60","1,436.60","1,401.50","0.57"
"2017年4月28日","1,415.60","1,440.30","1,447.00","1,368.30","-1.71"
"2017年4月27日","1,440.30","1,399.30","1,449.70","1,392.50","2.93"
"2017年4月26日","1,399.30","1,371.00","1,411.70","1,365.10","2.12"
"2017年4月25日","1,370.30","1,345.00","1,378.50","1,342.10","1.88"
"2017年4月24日","1,345.00","1,355.30","1,359.60","1,326.90","-0.75"
"2017年4月23日","1,355.20","1,346.40","1,359.00","1,336.00","0.57"
"2017年4月22日","1,347.50","1,327.10","1,353.10","1,290.10","1.65"
"2017年4月21日","1,325.60","1,308.70","1,333.10","1,307.50","1.31"
"2017年4月20日","1,308.40","1,260.50","1,325.70","1,260.10","3.80"
"2017年4月19日","1,260.50","1,265.40","1,272.00","1,255.00","-0.39"
"2017年4月18日","1,265.40","1,240.00","1,274.80","1,237.00","2.05"
"2017年4月17日","1,240.00","1,212.50","1,247.00","1,202.20","2.31"
"2017年4月16日","1,212.00","1,193.30","1,217.60","1,190.40","1.57"
"2017年4月15日","1,193.30","1,206.80","1,215.00","1,190.00","-1.12"
"2017年4月14日","1,206.80","1,187.00","1,219.10","1,184.00","1.67"
"2017年4月13日","1,187.00","1,227.40","1,235.10","1,163.50","-3.29"
"2017年4月12日","1,227.40","1,236.90","1,239.00","1,221.00","-0.66"
"2017年4月11日","1,235.60","1,220.30","1,243.40","1,209.10","1.25"
"2017年4月10日","1,220.30","1,215.90","1,229.90","1,208.10","0.36"
"2017年4月9日","1,215.90","1,188.10","1,226.90","1,180.20","2.34"
"2017年4月8日","1,188.10","1,196.60","1,202.60","1,171.30","-0.71"
"2017年4月7日","1,196.60","1,191.50","1,208.90","1,176.70","0.43"
"2017年4月6日","1,191.50","1,140.30","1,206.40","1,140.30","4.46"
"2017年4月5日","1,140.60","1,145.80","1,146.70","1,112.30","-0.38"
"2017年4月4日","1,145.00","1,150.10","1,161.90","1,124.10","-0.45"
"2017年4月3日","1,150.20","1,107.80","1,159.90","1,107.80","3.85"
"2017年4月2日","1,107.60","1,093.50","1,118.20","1,081.00","1.32"
"2017年4月1日","1,093.20","1,081.30","1,106.90","1,070.20","1.06"
"2017年3月31日","1,081.70","1,042.10","1,089.40","1,041.00","3.91"
"2017年3月30日","1,041.00","1,041.70","1,053.50","1,022.20","-0.08"
"2017年3月29日","1,041.80","1,044.70","1,058.90","1,009.30","-0.28"
"2017年3月28日","1,044.70","1,042.80","1,066.50","1,016.80","0.19"
"2017年3月27日","1,042.70","968.90","1,046.90","960.10","7.61"
"2017年3月26日","969.00","971.31","1,005.50","950.10","-0.33"
"2017年3月25日","972.17","942.13","980.00","891.00","3.08"
"2017年3月24日","943.10","1,032.70","1,034.20","928.30","-8.70"
"2017年3月23日","1,033.00","1,039.40","1,055.00","1,018.00","-0.59"
"2017年3月22日","1,039.10","1,115.90","1,116.00","986.30","-6.81"
"2017年3月21日","1,115.00","1,040.40","1,120.90","1,040.10","7.31"
"2017年3月20日","1,039.00","1,016.50","1,052.10","1,011.20","2.25"
"2017年3月19日","1,016.10","971.90","1,058.90","971.00","4.64"
"2017年3月18日","971.00","1,067.80","1,097.10","935.11","-9.12"
"2017年3月17日","1,068.40","1,169.10","1,169.60","1,066.00","-8.61"
"2017年3月16日","1,169.00","1,256.10","1,259.70","1,132.50","-6.93"
"2017年3月15日","1,256.10","1,245.00","1,262.00","1,241.30","0.89"
"2017年3月14日","1,245.00","1,238.50","1,257.90","1,218.90","0.52"
"2017年3月13日","1,238.50","1,224.40","1,246.90","1,207.50","1.09"
"2017年3月12日","1,225.20","1,172.40","1,232.60","1,167.50","4.47"
"2017年3月11日","1,172.80","1,113.50","1,196.10","1,107.00","5.32"
"2017年3月10日","1,113.60","1,190.40","1,328.80","971.00","-6.45"
"2017年3月9日","1,190.40","1,150.00","1,207.50","1,136.00","3.58"
"2017年3月8日","1,149.30","1,232.40","1,243.60","1,142.20","-6.74"
"2017年3月7日","1,232.40","1,279.20","1,281.80","1,185.90","-3.67"
"2017年3月6日","1,279.30","1,278.40","1,287.80","1,268.60","0.07"
"2017年3月5日","1,278.40","1,267.80","1,279.80","1,245.30","0.84"
"2017年3月4日","1,267.80","1,289.10","1,291.80","1,240.10","-1.58"
"2017年3月3日","1,288.20","1,257.60","1,294.70","1,256.60","2.05"
"2017年3月2日","1,262.30","1,232.90","1,283.10","1,213.00","2.39"
"2017年3月1日","1,232.80","1,189.10","1,233.50","1,186.00","3.68"
"2017年2月28日","1,189.10","1,196.00","1,216.00","1,177.80","-0.54"
"2017年2月27日","1,195.50","1,178.30","1,202.60","1,171.00","1.46"
"2017年2月26日","1,178.30","1,153.00","1,185.90","1,130.90","2.19"
"2017年2月25日","1,153.00","1,185.40","1,189.90","1,131.50","-2.71"
"2017年2月24日","1,185.10","1,189.90","1,222.20","1,111.10","-0.49"
"2017年2月23日","1,190.90","1,125.50","1,196.90","1,120.40","5.83"
"2017年2月22日","1,125.30","1,129.60","1,140.00","1,106.40","-0.38"
"2017年2月21日","1,129.60","1,091.30","1,134.00","1,085.00","3.52"
"2017年2月20日","1,091.20","1,056.20","1,100.30","1,044.10","3.31"
"2017年2月19日","1,056.20","1,059.80","1,066.00","1,045.00","-0.34"
"2017年2月18日","1,059.80","1,056.20","1,071.10","1,053.10","0.34"
"2017年2月17日","1,056.20","1,038.50","1,065.80","1,034.10","1.71"
"2017年2月16日","1,038.40","1,013.90","1,045.70","1,013.90","2.43"
"2017年2月15日","1,013.80","1,013.30","1,017.30","1,002.40","0.01"
"2017年2月14日","1,013.70","996.52","1,019.00","988.88","1.73"
"2017年2月13日","996.50","996.00","1,004.50","975.90","0.05"
"2017年2月12日","996.01","1,000.10","1,005.40","992.33","-0.43"
"2017年2月11日","1,000.30","992.10","1,009.00","984.19","0.84"
"2017年2月10日","992.00","984.97","1,002.00","949.39","0.71"
"2017年2月9日","984.97","1,049.00","1,078.00","936.41","-6.09"
"2017年2月8日","1,048.80","1,052.50","1,068.00","1,013.20","-0.31"
"2017年2月7日","1,052.10","1,022.60","1,056.30","1,021.70","2.88"
"2017年2月6日","1,022.60","1,006.60","1,026.20","1,006.00","1.59"
"2017年2月5日","1,006.60","1,031.10","1,033.00","996.35","-2.38"
"2017年2月4日","1,031.10","1,016.80","1,040.00","1,001.60","1.52"
"2017年2月3日","1,015.70","1,007.00","1,020.50","988.34","0.99"
"2017年2月2日","1,005.70","983.73","1,010.50","970.11","2.23"
"2017年2月1日","983.73","966.19","984.99","960.10","1.82"
"2017年1月31日","966.19","917.36","969.38","916.75","5.32"
"2017年1月30日","917.36","912.55","920.79","910.01","0.53"
"2017年1月29日","912.56","919.43","922.99","910.72","-0.75"
"2017年1月28日","919.43","916.70","923.98","915.01","0.30"
"2017年1月27日","916.70","915.12","922.16","905.05","0.17"
"2017年1月26日","915.12","893.35","917.64","893.35","2.44"
"2017年1月25日","893.35","886.10","899.61","884.20","0.82"
"2017年1月24日","886.10","908.41","927.00","884.20","-2.63"
"2017年1月23日","910.03","923.72","928.82","910.03","-1.48"
"2017年1月22日","923.72","924.02","939.73","892.00","-0.03"
"2017年1月21日","924.02","895.74","931.01","893.89","3.13"
"2017年1月20日","895.96","900.29","904.50","883.34","-0.48"
"2017年1月19日","900.29","887.60","908.20","884.57","1.41"
"2017年1月18日","887.76","903.99","913.85","847.30","-1.80"
"2017年1月17日","903.99","830.10","910.77","828.00","8.90"
"2017年1月16日","830.10","820.74","837.89","814.79","1.14"
"2017年1月15日","820.74","815.30","822.98","805.13","0.67"
"2017年1月14日","815.30","828.12","838.54","800.71","-1.55"
"2017年1月13日","828.12","804.58","832.29","776.00","2.93"
"2017年1月12日","804.58","779.54","831.16","738.66","3.34"
"2017年1月11日","778.58","905.76","922.63","760.00","-14.04"
"2017年1月10日","905.76","903.00","917.88","895.50","0.31"
"2017年1月9日","903.00","915.90","916.10","876.30","-1.41"
"2017年1月8日","915.90","908.84","942.50","890.00","0.78"
"2017年1月7日","908.84","898.50","911.00","816.10","1.21"
"2017年1月6日","898.00","1,003.80","1,025.00","871.00","-10.49"
"2017年1月5日","1,003.20","1,139.80","1,166.00","865.38","-11.97"
"2017年1月4日","1,139.60","1,037.50","1,150.00","1,036.40","9.84"
"2017年1月3日","1,037.50","1,019.30","1,038.70","1,013.50","1.79"
"2017年1月2日","1,019.30","999.24","1,034.80","997.30","2.03"
"2017年1月1日","998.99","966.58","1,006.50","961.26","3.35"
"2016年12月31日","966.58","959.16","968.00","945.01","0.76"
"2016年12月30日","959.26","974.74","974.74","929.75","-1.37"
"2016年12月29日","972.63","981.70","983.00","948.99","-0.92"
"2016年12月28日","981.70","936.43","983.00","936.38","4.85"
"2016年12月27日","936.32","906.40","940.00","903.51","3.30"
"2016年12月26日","906.40","898.00","919.99","894.21","0.94"
"2016年12月25日","897.99","895.24","901.48","858.63","0.31"
"2016年12月24日","895.24","918.99","919.85","882.79","-2.58"
"2016年12月23日","918.99","859.20","920.00","859.00","6.96"
"2016年12月22日","859.20","829.34","873.86","825.00","3.52"
"2016年12月21日","829.99","798.77","830.50","794.99","4.01"
"2016年12月20日","797.99","790.59","802.33","788.01","0.94"
"2016年12月19日","790.59","790.21","792.21","787.96","0.05"
"2016年12月18日","790.21","790.99","792.80","784.39","-0.10"
"2016年12月17日","790.99","784.17","793.00","784.17","0.87"
"2016年12月16日","784.17","777.43","785.03","775.86","0.87"
"2016年12月15日","777.43","774.49","780.11","774.49","0.38"
"2016年12月14日","774.49","775.00","781.16","771.17","-0.07"
"2016年12月13日","775.00","777.99","788.86","763.70","-0.38"
"2016年12月12日","777.99","770.21","784.10","770.21","1.01"
"2016年12月11日","770.21","772.90","773.73","761.84","-0.35"
"2016年12月10日","772.90","770.50","777.77","769.99","0.31"
"2016年12月9日","770.50","765.01","772.72","765.00","0.72"
"2016年12月8日","765.01","765.01","773.20","762.66","0.00"
"2016年12月7日","765.01","757.18","772.15","749.11","1.01"
"2016年12月6日","757.36","750.62","758.50","750.44","0.90"
"2016年12月5日","750.62","768.50","768.99","744.59","-2.33"
"2016年12月4日","768.50","765.46","769.99","760.90","0.42"
"2016年12月3日","765.27","774.88","774.88","755.99","-1.24"
"2016年12月2日","774.91","755.36","779.21","755.15","2.59"
"2016年12月1日","755.36","739.00","756.00","738.80","2.21"
"2016年11月30日","739.00","731.05","743.14","729.13","1.09"
"2016年11月29日","731.05","731.52","733.93","728.68","-0.06"
"2016年11月28日","731.52","724.90","734.99","724.90","0.90"
"2016年11月27日","724.99","731.19","736.19","722.50","-0.85"
"2016年11月26日","731.19","740.36","740.99","720.00","-1.24"
"2016年11月25日","740.36","737.68","741.12","730.00","0.36"
"2016年11月24日","737.68","742.00","744.32","727.61","-0.58"
"2016年11月23日","741.99","749.85","750.91","730.79","-1.07"
"2016年11月22日","750.05","738.99","753.91","733.27","1.50"
"2016年11月21日","738.99","729.67","740.60","728.08","1.28"
"2016年11月20日","729.67","752.90","757.00","712.02","-3.09"
"2016年11月19日","752.90","753.97","759.99","740.01","-0.14"
"2016年11月18日","753.97","740.67","756.94","734.50","1.80"
"2016年11月17日","740.67","744.98","762.41","735.00","-0.58"
"2016年11月16日","744.99","712.17","747.49","710.13","4.61"
"2016年11月15日","712.17","707.43","720.01","707.40","0.67"
"2016年11月14日","707.43","708.13","709.00","699.00","0.47"
"2016年10月31日","704.09","702.55","706.00","688.00","0.22"
"2016年10月30日","702.55","714.51","716.61","697.77","-1.67"
"2016年10月29日","714.51","693.47","723.99","692.28","3.03"
"2016年10月28日","693.47","688.67","695.02","681.59","0.70"
"2016年10月27日","688.67","678.70","690.62","676.69","1.47"
"2016年10月26日","678.70","659.52","685.61","658.46","2.91"
"2016年10月25日","659.52","654.65","670.00","652.65","0.74"
"2016年10月24日","654.65","659.03","659.03","654.01","-0.66"
"2016年10月23日","659.03","664.99","671.40","656.04","-0.90"
"2016年10月22日","664.99","636.73","670.98","635.06","4.44"
"2016年10月21日","636.73","632.46","639.00","632.00","0.68"
"2016年10月20日","632.46","631.77","633.61","628.00","0.11"
"2016年10月19日","631.77","638.68","643.90","627.84","-1.10"
"2016年10月18日","638.80","639.79","641.65","632.93","-0.15"
"2016年10月17日","639.79","644.18","644.56","637.77","-0.68"
"2016年10月16日","644.17","640.20","645.80","639.82","0.62"
"2016年10月15日","640.20","643.00","645.69","637.91","-0.44"
"2016年10月14日","643.00","637.01","645.40","636.72","0.94"
"2016年10月13日","637.01","637.63","643.67","636.38","-0.10"
"2016年10月12日","637.63","641.87","644.07","637.26","-0.64"
"2016年10月11日","641.74","618.87","645.98","618.06","3.70"
"2016年10月10日","618.87","616.56","620.00","615.91","0.37"
"2016年10月9日","616.56","620.50","620.91","614.43","-0.63"
"2016年10月8日","620.50","620.13","622.87","617.91","0.06"
"2016年10月7日","620.13","613.51","621.17","613.00","1.08"
"2016年10月6日","613.51","614.09","615.90","612.68","-0.09"
"2016年10月5日","614.09","610.71","617.28","610.00","0.51"
"2016年10月4日","610.98","612.67","614.00","609.63","-0.26"
"2016年10月3日","612.57","609.09","613.22","608.93","0.57"
"2016年10月2日","609.09","614.09","614.21","607.01","-0.81"
"2016年10月1日","614.09","611.10","616.87","611.10","0.49"
"2016年9月30日","611.10","604.60","612.92","604.25","1.08"
"2016年9月29日","604.60","603.76","607.77","603.18","0.14"
"2016年9月28日","603.76","605.53","605.77","603.13","-0.29"
"2016年9月27日","605.53","609.14","609.91","602.01","-0.59"
"2016年9月26日","609.14","600.36","610.00","599.88","1.46"
"2016年9月25日","600.36","602.55","603.60","597.63","-0.36"
"2016年9月24日","602.55","603.29","605.80","601.49","-0.12"
"2016年9月23日","603.29","597.08","603.99","595.95","1.04"
"2016年9月22日","597.08","597.43","598.70","596.00","-0.06"
"2016年9月21日","597.43","600.13","600.13","592.70","-0.44"
"2016年9月20日","600.05","609.79","612.01","600.05","-1.60"
"2016年9月19日","609.79","613.03","615.05","608.92","-0.53"
"2016年9月18日","613.03","607.69","615.86","607.37","0.88"
"2016年9月17日","607.69","610.01","610.56","605.00","-0.38"
"2016年9月16日","610.01","611.81","614.22","609.54","-0.29"
"2016年9月15日","611.81","613.88","617.30","611.00","-0.34"
"2016年9月14日","613.88","614.23","617.38","612.01","-0.06"
"2016年9月13日","614.23","611.62","618.00","610.00","0.43"
"2016年9月12日","611.62","612.08","615.21","608.14","-0.08"
"2016年9月11日","612.08","628.00","635.00","598.00","-2.54"
"2016年9月10日","628.00","626.25","629.65","624.90","0.28"
"2016年9月9日","626.25","631.73","633.45","621.26","-0.87"
"2016年9月8日","631.73","619.75","636.16","617.78","1.93"
"2016年9月7日","619.75","615.06","620.63","610.85","0.73"
"2016年9月6日","615.23","611.50","616.70","609.77","0.61"
"2016年9月5日","611.50","614.52","615.67","605.70","-0.49"
"2016年9月4日","614.52","609.89","618.65","604.60","0.76"
"2016年9月3日","609.89","579.85","612.43","576.04","5.18"
"2016年9月2日","579.85","572.73","581.07","570.61","1.24"
"2016年9月1日","572.73","576.15","577.98","571.50","-0.59"
"2016年8月31日","576.15","579.49","579.49","572.74","-0.58"
"2016年8月30日","579.49","574.78","580.15","574.17","0.82"
"2016年8月29日","574.78","574.17","577.99","573.02","0.11"
"2016年8月28日","574.17","568.55","574.37","568.30","0.99"
"2016年8月27日","568.55","578.02","578.90","567.23","-1.64"
"2016年8月26日","578.01","577.20","579.50","575.06","0.14"
"2016年8月25日","577.20","580.32","581.14","574.01","-0.54"
"2016年8月24日","580.32","583.54","586.88","580.00","-0.55"
"2016年8月23日","583.54","588.01","590.69","581.12","-0.76"
"2016年8月22日","588.01","581.42","589.99","581.42","1.13"
"2016年8月21日","581.42","582.10","584.16","580.01","-0.10"
"2016年8月20日","582.01","573.51","582.75","571.25","1.48"
"2016年8月19日","573.50","572.33","577.17","570.82","0.23"
"2016年8月18日","572.21","571.83","578.02","569.71","0.07"
"2016年8月17日","571.83","574.17","577.94","569.01","-0.42"
"2016年8月16日","574.24","564.64","579.00","564.00","1.70"
"2016年8月15日","564.64","569.41","574.02","562.99","-0.84"
"2016年8月14日","569.44","583.73","583.73","564.00","-2.45"
"2016年8月13日","583.73","585.50","590.02","582.06","-0.30"
"2016年8月12日","585.50","591.27","593.00","584.00","-0.98"
"2016年8月11日","591.27","590.50","599.00","587.75","0.17"
"2016年8月10日","590.28","604.10","614.50","579.00","-2.29"
"2016年8月9日","604.10","604.10","604.10","604.10","0.00"
