"日期","最新","开盘","高","低","百分比变化"
"2016年4月25日","461.77","463.02","471.58","455.00","-0.27"
"2016年4月24日","463.01","453.69","464.98","450.20","2.05"
"2016年4月23日","453.69","447.80","454.60","445.67","1.32"
"2016年4月22日","447.80","452.26","453.15","444.55","-0.94"
"2016年4月21日","452.03","443.93","454.50","442.27","1.82"
"2016年4月20日","443.95","437.81","446.49","436.60","1.41"
"2016年4月19日","437.76","430.03","439.00","428.55","1.80"
"2016年4月18日","430.04","428.51","430.91","426.52","0.36"
"2016年4月17日","428.51","432.52","433.49","426.37","-0.82"
"2016年4月16日","432.04","431.48","435.67","430.47","0.13"
"2016年4月15日","431.48","426.01","432.43","426.01","1.28"
"2016年4月14日","426.01","424.75","426.44","424.02","0.30"
"2016年4月13日","424.75","426.59","427.68","423.00","-0.43"
"2016年4月12日","426.59","423.74","430.00","423.70","0.67"
"2016年4月11日","423.74","421.32","423.88","418.80","0.57"
"2016年4月10日","421.32","418.47","422.82","417.49","0.68"
"2016年4月9日","418.47","418.50","418.76","412.00","-0.01"
"2016年4月8日","418.50","422.28","424.48","415.50","-0.90"
"2016年4月7日","422.28","422.57","422.86","417.78","-0.07"
"2016年4月6日","422.57","423.75","424.48","421.69","-0.28"
"2016年4月5日","423.75","420.46","424.57","419.61","0.78"
"2016年4月4日","420.46","420.60","421.20","416.25","-0.03"
"2016年4月3日","420.60","420.30","421.73","417.56","0.07"
"2016年4月2日","420.30","417.90","422.80","417.53","0.66"
"2016年4月1日","417.56","416.02","417.60","414.00","0.37"
"2016年3月31日","416.02","413.20","418.25","413.04","0.68"
"2016年3月30日","413.20","416.00","416.00","408.58","-0.63"
"2016年3月29日","415.81","424.06","426.41","407.50","-1.95"
"2016年3月28日","424.06","427.37","427.98","422.40","-0.77"
"2016年3月27日","427.37","416.71","430.95","415.79","2.56"
"2016年3月26日","416.71","416.00","418.74","414.51","0.17"
"2016年3月25日","416.00","415.30","417.03","413.03","0.17"
"2016年3月24日","415.30","418.12","418.12","414.00","-0.67"
"2016年3月23日","418.12","417.70","419.72","415.83","0.10"
"2016年3月22日","417.69","411.88","418.68","409.88","1.41"
"2016年3月21日","411.88","411.25","412.14","406.00","0.15"
"2016年3月20日","411.25","408.41","412.97","407.92","0.70"
"2016年3月19日","408.41","407.70","410.73","404.00","0.17"
"2016年3月18日","407.70","418.75","418.86","403.01","-2.64"
"2016年3月17日","418.75","417.28","420.60","416.67","0.35"
"2016年3月16日","417.28","415.50","418.00","413.96","0.43"
"2016年3月15日","415.50","415.91","418.81","412.78","-0.12"
"2016年3月14日","415.99","411.87","417.85","411.83","1.01"
"2016年3月13日","411.82","410.01","416.00","410.00","0.44"
"2016年3月12日","410.01","420.47","421.81","406.46","-2.49"
"2016年3月11日","420.49","416.51","423.60","415.50","0.96"
"2016年3月10日","416.51","413.05","417.17","410.70","0.86"
"2016年3月9日","412.94","411.35","414.50","407.76","0.39"
"2016年3月8日","411.35","412.62","415.90","406.00","-0.33"
"2016年3月7日","412.70","403.75","415.30","401.60","2.18"
"2016年3月6日","403.91","397.36","409.50","392.02","1.65"
"2016年3月5日","397.36","408.82","410.14","389.74","-2.80"
"2016年3月4日","408.82","420.56","423.99","407.66","-2.79"
"2016年3月3日","420.56","422.09","424.43","416.40","-0.39"
"2016年3月2日","422.22","434.82","436.31","421.12","-2.90"
"2016年3月1日","434.82","439.16","442.79","428.50","-0.99"
"2016年2月29日","439.16","434.45","444.79","430.51","1.08"
"2016年2月28日","434.47","434.21","437.77","422.10","0.06"
"2016年2月27日","434.21","435.49","437.97","431.81","-0.25"
"2016年2月26日","435.31","424.88","435.31","419.97","2.45"
"2016年2月25日","424.88","426.36","429.95","419.50","-0.35"
"2016年2月24日","426.36","421.40","427.48","410.69","1.24"
"2016年2月23日","421.13","440.25","442.64","416.27","-4.35"
"2016年2月22日","440.27","440.49","442.48","433.44","-0.05"
"2016年2月21日","440.48","438.70","451.24","428.26","0.41"
